N     Total_reward  Satisfied_customers  Customers_without_deliveries  Total_time  Total_satisfaction  Wharehouse_visits  Trips
361    791.207136                 11.0                           3.0  733.383333            0.822736               18.0   41.0
362    800.032491                 14.0                           3.0  720.483333            0.832707               12.0  101.0
363    742.399109                 15.0                           4.0  726.250000            0.787379               11.0   86.0
364    867.737394                 13.0                           1.0  739.333333            0.922405               18.0   38.0
365    867.166750                 12.0                           1.0  722.333333            0.919075               18.0   38.0
366    743.407466                 15.0                           4.0  727.316667            0.782188               11.0   90.0
367    865.221208                 11.0                           1.0  733.333333            0.906040               18.0   38.0
368    794.094107                 14.0                           3.0  725.366667            0.833966               10.0   92.0
369    806.339735                 15.0                           2.0  725.366667            0.843629               12.0   94.0
370    851.173471                 12.0                           2.0  727.400000            0.893396               18.0   42.0
371    739.525560                 13.0                           4.0  725.483333            0.780441               10.0   99.0
372    871.446241                 12.0                           1.0  729.333333            0.912297               18.0   38.0
373    933.723386                 10.0                           0.0  751.416667            0.978343               18.0   43.0
374    854.804460                 15.0                           2.0  724.383333            0.894539               12.0   95.0
375    849.174894                 14.0                           2.0  721.400000            0.889207               11.0   95.0
376    780.842337                 13.0                           3.0  725.400000            0.827324               18.0   42.0
377    877.678431                 10.0                           1.0  724.333333            0.920849               18.0   38.0
378    876.433219                 13.0                           1.0  737.333333            0.922330               18.0   38.0
379    846.225655                 14.0                           2.0  722.383333            0.885794               10.0   93.0
380    841.152554                 15.0                           2.0  722.316667            0.884688               11.0   90.0
381    885.271390                 14.0                           1.0  731.333333            0.936832               18.0   38.0
382    781.454585                 11.0                           3.0  736.400000            0.817408               18.0   42.0
383    750.834534                 14.0                           4.0  722.383333            0.783156               11.0   94.0
384    809.589844                 14.0                           3.0  742.400000            0.843083               11.0   95.0
385    750.600626                 14.0                           4.0  720.533333            0.791469               11.0  103.0
386    878.122365                 13.0                           1.0  723.333333            0.935328               18.0   38.0
387    789.995522                 12.0                           3.0  733.400000            0.827783               18.0   42.0
388    876.017996                 11.0                           1.0  740.333333            0.916509               18.0   38.0
389    795.701694                 14.0                           3.0  720.400000            0.838617               18.0   42.0
390    871.868767                  9.0                           1.0  735.333333            0.898148               18.0   38.0
